i,from,to,direction,t_write_ns,write_us,readback_us,readback_timeout
138,3199000000,2133000000,down,580640750593949,8376.69,12424.66,0
139,2133000000,3199000000,up,580641013539822,9672.05,13946.01,0
140,3199000000,2133000000,down,580641278018374,8559.93,12788.19,0
141,2133000000,3199000000,up,580641541291744,8643.16,12654.85,0
142,3199000000,2133000000,down,580641804496472,8394.93,12521.79,0
143,2133000000,3199000000,up,580642067587053,9166.25,13382.48,0
144,3199000000,2133000000,down,580642331499319,8632.02,12918.44,0
145,2133000000,3199000000,up,580642594912085,8529.08,12513.34,0
146,3199000000,2133000000,down,580642858075692,9374.57,13804.03,0
147,2133000000,3199000000,up,580643122510435,8925.83,13052.46,0
148,3199000000,2133000000,down,580643386053668,8419.83,12496.06,0
149,2133000000,3199000000,up,580643649072024,8644.31,12737.09,0
150,3199000000,2133000000,down,580643912322866,9234.06,13465.52,0
151,2133000000,3199000000,up,580644176322655,8749.85,13093.0,0
152,3199000000,2133000000,down,580644439959715,8304.11,12602.72,0
153,2133000000,3199000000,up,580644703027480,8633.98,12572.28,0
154,3199000000,2133000000,down,580644966117326,8707.51,12988.81,0
155,2133000000,3199000000,up,580645229602542,8557.24,12568.96,0
156,3199000000,2133000000,down,580645492643875,8278.67,12317.05,0
157,2133000000,3199000000,up,580645755417170,8607.67,12554.75,0
158,3199000000,2133000000,down,580646018622571,8683.8,12801.38,0
159,2133000000,3199000000,up,580646281923975,8494.13,12449.66,0
160,3199000000,2133000000,down,580646544845049,8205.87,12276.31,0
161,2133000000,3199000000,up,580646807609416,9801.62,13911.45,0
162,3199000000,2133000000,down,580647072161571,8437.88,12640.35,0
163,2133000000,3199000000,up,580647335273050,8777.34,12720.77,0
164,3199000000,2133000000,down,580647598630200,8433.04,12486.39,0
165,2133000000,3199000000,up,580647862039927,9826.2,14163.81,0
166,3199000000,2133000000,down,580648126747798,8797.95,13050.57,0
167,2133000000,3199000000,up,580648390341146,8796.86,12847.24,0
168,3199000000,2133000000,down,580648653734041,8347.47,12412.76,0
169,2133000000,3199000000,up,580648916683628,8795.93,13032.97,0
170,3199000000,2133000000,down,580649180262640,8415.51,12671.45,0
171,2133000000,3199000000,up,580649443493419,8940.99,13352.62,0
172,3199000000,2133000000,down,580649707381910,8470.13,12563.58,0
173,2133000000,3199000000,up,580649970643314,8982.85,13779.07,0
174,3199000000,2133000000,down,580650234964233,8636.89,12823.04,0
175,2133000000,3199000000,up,580650498325959,8784.73,12836.83,0
176,3199000000,2133000000,down,580650761713222,9268.23,13355.38,0
177,2133000000,3199000000,up,580651025611538,8798.65,12901.09,0
178,3199000000,2133000000,down,580651289062579,8937.7,13067.59,0
179,2133000000,3199000000,up,580651552652120,8763.96,12900.16,0
180,3199000000,2133000000,down,580651816206171,8431.54,12620.32,0
181,2133000000,3199000000,up,580652079383894,9075.68,13517.08,0
182,3199000000,2133000000,down,580652343305699,8284.43,12273.14,0
183,2133000000,3199000000,up,580652606123092,8761.76,12843.24,0
184,3199000000,2133000000,down,580652869494771,8525.33,12716.19,0
185,2133000000,3199000000,up,580653132703887,8617.02,12726.5,0
186,3199000000,2133000000,down,580653395971756,8605.34,12876.29,0
187,2133000000,3199000000,up,580653659380492,9739.06,14088.26,0
188,3199000000,2133000000,down,580653924121198,8453.88,12782.98,0
189,2133000000,3199000000,up,580654187440781,8968.93,13255.28,0
190,3199000000,2133000000,down,580654451254712,8640.41,12986.37,0
191,2133000000,3199000000,up,580654714805596,9658.55,13857.12,0
192,3199000000,2133000000,down,580654979194645,8832.64,13267.6,0
193,2133000000,3199000000,up,580655243011937,8948.1,13290.16,0
194,3199000000,2133000000,down,580655506958959,8624.44,12895.04,0
195,2133000000,3199000000,up,580655770375696,8639.13,12664.8,0
196,3199000000,2133000000,down,580656033582252,8510.1,13046.67,0
197,2133000000,3199000000,up,580656297197043,8807.23,12858.63,0
198,3199000000,2133000000,down,580656560611540,9244.49,13393.52,0
199,2133000000,3199000000,up,580656824551843,8877.73,13163.98,0
200,3199000000,2133000000,down,580657088265996,8529.01,12781.99,0
201,2133000000,3199000000,up,580657351607628,8858.37,12965.41,0
202,3199000000,2133000000,down,580657615106416,9059.14,13295.05,0
203,2133000000,3199000000,up,580657878918235,8990.69,13075.11,0
204,3199000000,2133000000,down,580658142641445,9294.41,13861.53,0
205,2133000000,3199000000,up,580658407078337,8955.81,13268.43,0
206,3199000000,2133000000,down,580658670906477,8406.39,12557.18,0
207,2133000000,3199000000,up,580658933987719,8893.7,13042.5,0
208,3199000000,2133000000,down,580659197499787,8259.25,12295.96,0
209,2133000000,3199000000,up,580659460317471,9754.77,13810.75,0
210,3199000000,2133000000,down,580659724564758,8244.82,12212.24,0
211,2133000000,3199000000,up,580659987301543,9040.26,13187.05,0
212,3199000000,2133000000,down,580660251043666,8585.72,12909.73,0
213,2133000000,3199000000,up,580660514543831,9356.2,13346.09,0
214,3199000000,2133000000,down,580660778464902,8368.75,12361.53,0
215,2133000000,3199000000,up,580661041322746,8880.64,12951.3,0
216,3199000000,2133000000,down,580661304789822,8473.43,12694.62,0
217,2133000000,3199000000,up,580661568089918,8712.19,12767.97,0
218,3199000000,2133000000,down,580661831380606,8616.99,12738.27,0
219,2133000000,3199000000,up,580662094654333,8833.53,12871.68,0
220,3199000000,2133000000,down,580662358015487,8490.9,12622.05,0
221,2133000000,3199000000,up,580662621204253,8905.15,13003.3,0
222,3199000000,2133000000,down,580662884722082,8650.17,12915.91,0
223,2133000000,3199000000,up,580663148104165,8544.18,12469.62,0
224,3199000000,2133000000,down,580663411120350,9467.92,13671.16,0
225,2133000000,3199000000,up,580663675342102,8925.12,13099.75,0
226,3199000000,2133000000,down,580663938952638,8630.81,12757.47,0
227,2133000000,3199000000,up,580664202225886,8708.64,12717.89,0
228,3199000000,2133000000,down,580664465486237,8819.29,12882.63,0
229,2133000000,3199000000,up,580664728908097,8730.72,12824.67,0
230,3199000000,2133000000,down,580664992221858,8647.96,13023.24,0
231,2133000000,3199000000,up,580665255841291,8762.68,13006.76,0
232,3199000000,2133000000,down,580665519369746,8667.26,12836.39,0
233,2133000000,3199000000,up,580665782760437,8739.58,12805.92,0
234,3199000000,2133000000,down,580666046112056,8459.67,12643.2,0
235,2133000000,3199000000,up,580666309232724,9459.09,13425.59,0
236,3199000000,2133000000,down,580666573187910,8660.76,13021.26,0
237,2133000000,3199000000,up,580666836727277,8942.72,12966.53,0
238,3199000000,2133000000,down,580667100244756,8490.1,12637.02,0
239,2133000000,3199000000,up,580667363438515,10054.14,14313.48,0
240,3199000000,2133000000,down,580667628194169,8599.45,12815.4,0
241,2133000000,3199000000,up,580667891616542,8966.24,13211.21,0
242,3199000000,2133000000,down,580668155377771,8633.53,12926.85,0
