i,from,to,direction,t_write_ns,write_us,readback_us,readback_timeout
174,1728000,729600,down,580259246667982,1527.14,2559.33,0
175,729600,1728000,up,580259499825201,1561.89,2614.53,0
176,1728000,729600,down,580259753105048,1426.4,2420.57,0
177,729600,1728000,up,580260006130552,1974.51,3040.78,0
178,1728000,729600,down,580260259708742,1816.68,2793.16,0
179,729600,1728000,up,580260512991758,827.38,1194.68,0
180,1728000,729600,down,580260764595244,1136.99,1583.08,0
181,729600,1728000,up,580261016663285,1469.83,2474.53,0
182,1728000,729600,down,580261269741144,1764.39,2915.75,0
183,729600,1728000,up,580261523215492,1641.42,2674.27,0
184,1728000,729600,down,580261776460171,1627.4,2798.41,0
185,729600,1728000,up,580262029855830,1354.69,2488.35,0
186,1728000,729600,down,580262282836823,1470.37,2378.2,0
187,729600,1728000,up,580262535790327,1768.49,2835.84,0
188,1728000,729600,down,580262789240131,1738.47,2983.43,0
189,729600,1728000,up,580263042901845,1590.69,2774.69,0
190,1728000,729600,down,580263296262880,1494.79,2539.81,0
191,729600,1728000,up,580263549333987,1371.68,2351.71,0
192,1728000,729600,down,580263802218211,1417.99,2500.51,0
193,729600,1728000,up,580264055243653,1664.94,2625.73,0
194,1728000,729600,down,580264308405132,1254.21,2192.95,0
195,729600,1728000,up,580264561132455,1301.15,2201.08,0
196,1728000,729600,down,580264813850019,1355.42,2412.03,0
197,729600,1728000,up,580265066803589,1359.97,2266.3,0
198,1728000,729600,down,580265319589026,1824.17,2746.02,0
199,729600,1728000,up,580265572855852,1277.09,2149.3,0
200,1728000,729600,down,580265825708619,1348.7,2612.7,0
201,729600,1728000,up,580266078884947,1347.59,2247.61,0
202,1728000,729600,down,580266331745491,1741.87,2651.04,0
203,729600,1728000,up,580266584915995,1258.59,2114.0,0
204,1728000,729600,down,580266837653144,1317.79,2261.27,0
205,729600,1728000,up,580267090600539,1339.23,2407.1,0
206,1728000,729600,down,580267343572350,1631.66,2706.28,0
207,729600,1728000,up,580267596858377,1343.62,2284.89,0
208,1728000,729600,down,580267849586631,592.46,935.61,0
209,729600,1728000,up,580268101010757,1335.9,2321.4,0
210,1728000,729600,down,580268353922055,1383.36,2502.94,0
211,729600,1728000,up,580268606960493,1343.42,2253.46,0
212,1728000,729600,down,580268859773933,1581.48,2635.78,0
213,729600,1728000,up,580269112968887,1377.09,2337.47,0
214,1728000,729600,down,580269365871546,1387.78,2532.89,0
215,729600,1728000,up,580269618938336,1623.88,2696.51,0
216,1728000,729600,down,580269872304335,1826.06,2865.03,0
217,729600,1728000,up,580270125762944,1431.62,2631.26,0
218,1728000,729600,down,580270378954122,1677.16,2644.35,0
219,729600,1728000,up,580270632147285,1491.49,2528.64,0
220,1728000,729600,down,580270885234205,1430.66,2461.63,0
221,729600,1728000,up,580271138252611,1467.59,2654.4,0
222,1728000,729600,down,580271391445198,1473.19,2445.53,0
223,729600,1728000,up,580271644565368,1379.62,2459.74,0
224,1728000,729600,down,580271897578878,1439.01,2587.87,0
225,729600,1728000,up,580272150724329,1482.69,2487.84,0
226,1728000,729600,down,580272403766737,1883.31,2844.39,0
227,729600,1728000,up,580272657157281,1506.6,2487.42,0
228,1728000,729600,down,580272910177449,1410.6,2596.86,0
229,729600,1728000,up,580273163409398,1405.63,2393.15,0
230,1728000,729600,down,580273416180087,1436.42,2442.17,0
231,729600,1728000,up,580273669151198,1357.6,2303.93,0
232,1728000,729600,down,580273922006018,1356.45,2527.52,0
233,729600,1728000,up,580274175065419,1272.83,2188.63,0
234,1728000,729600,down,580274427747884,1523.81,2267.74,0
235,729600,1728000,up,580274680503022,1124.09,1845.04,0
236,1728000,729600,down,580274932899143,1606.5,2677.54,0
237,729600,1728000,up,580275186079668,1125.79,2204.85,0
238,1728000,729600,down,580275438834166,1535.59,2665.7,0
239,729600,1728000,up,580275692155047,1499.11,2637.6,0
240,1728000,729600,down,580275945381589,1424.99,2412.19,0
241,729600,1728000,up,580276198363390,1534.09,2753.54,0
242,1728000,729600,down,580276451774417,2092.53,3255.7,0
243,729600,1728000,up,580276705573101,1460.36,2633.82,0
244,1728000,729600,down,580276958768091,1432.67,2445.44,0
245,729600,1728000,up,580277211756965,1438.76,2195.99,0
246,1728000,729600,down,580277464560842,1603.82,2714.24,0
247,729600,1728000,up,580277717888379,1596.71,2878.38,0
248,1728000,729600,down,580277971364785,1538.28,2532.13,0
249,729600,1728000,up,580278224441981,1510.4,2540.86,0
250,1728000,729600,down,580278477572682,1445.67,2558.53,0
251,729600,1728000,up,580278730680055,1532.58,2974.47,0
252,1728000,729600,down,580278984088619,657.94,950.26,0
253,729600,1728000,up,580279235489135,1696.65,2456.41,0
254,1728000,729600,down,580279488586012,1309.76,2331.1,0
255,729600,1728000,up,580279741536709,1731.76,2864.14,0
256,1728000,729600,down,580279994952954,1473.32,2458.75,0
257,729600,1728000,up,580280247931365,1272.89,2168.31,0
258,1728000,729600,down,580280500640489,1260.93,2135.28,0
259,729600,1728000,up,580280753395759,1813.39,3008.59,0
260,1728000,729600,down,580281006939431,1381.47,2355.48,0
261,729600,1728000,up,580281259737486,593.04,846.29,0
262,1728000,729600,down,580281510966990,769.81,1171.52,0
263,729600,1728000,up,580281762634106,1715.43,2796.9,0
264,1728000,729600,down,580282015995086,1347.52,2587.26,0
265,729600,1728000,up,580282269077021,1261.44,2153.56,0
266,1728000,729600,down,580282521692128,1512.26,2720.07,0
267,729600,1728000,up,580282774952210,1484.77,2464.83,0
268,1728000,729600,down,580283027925374,1373.95,2301.95,0
269,729600,1728000,up,580283280810600,1496.01,2366.46,0
270,1728000,729600,down,580283533704819,1291.84,2173.33,0
271,729600,1728000,up,580283786398232,1463.52,2578.46,0
272,1728000,729600,down,580284039511240,1528.2,2465.85,0
273,729600,1728000,up,580284292455124,1132.64,1987.54,0
274,1728000,729600,down,580284544973909,1272.41,2114.39,0
275,729600,1728000,up,580284797630010,1473.03,2550.34,0
276,1728000,729600,down,580285050745259,1388.35,2321.75,0
277,729600,1728000,up,580285303545428,1160.7,2007.66,0
278,1728000,729600,down,580285556168345,1242.62,2103.54,0
279,729600,1728000,up,580285808790973,1412.8,2376.38,0
280,1728000,729600,down,580286061740234,1335.62,2428.67,0
281,729600,1728000,up,580286314650551,1107.58,2186.55,0
282,1728000,729600,down,580286567374814,1218.01,2057.91,0
283,729600,1728000,up,580286819991043,1400.71,2544.54,0
284,1728000,729600,down,580287073105589,1473.03,2452.35,0
285,729600,1728000,up,580287326016002,1075.93,1928.02,0
286,1728000,729600,down,580287578537381,1356.55,2346.27,0
287,729600,1728000,up,580287831418705,1480.68,2460.45,0
288,1728000,729600,down,580288084474018,1650.92,2826.85,0
289,729600,1728000,up,580288337879547,1330.5,2462.91,0
290,1728000,729600,down,580288590880395,716.11,1108.83,0
291,729600,1728000,up,580288842577723,1728.49,2875.37,0
292,1728000,729600,down,580289095997269,1308.83,2104.44,0
293,729600,1728000,up,580289348640732,1576.17,2641.7,0
294,1728000,729600,down,580289601853842,1436.48,2602.27,0
295,729600,1728000,up,580289855107752,1731.31,2819.65,0
296,1728000,729600,down,580290108477057,1321.22,2261.62,0
297,729600,1728000,up,580290361226924,1167.33,2056.18,0
298,1728000,729600,down,580290613769521,1559.01,2523.58,0
299,729600,1728000,up,580290866767106,1733.77,2699.97,0
