i,from,to,direction,t_write_ns,write_us,readback_us,readback_timeout
149,612000000,1020000000,up,580422535162267,5134.05,6482.88,0
150,1020000000,612000000,down,580422792124428,5069.98,6623.08,0
151,612000000,1020000000,up,580423049307394,5337.38,6967.73,0
152,1020000000,612000000,down,580423306765440,4921.6,6428.03,0
153,612000000,1020000000,up,580423563713393,5161.66,6511.07,0
154,1020000000,612000000,down,580423820714403,5154.78,6557.64,0
155,612000000,1020000000,up,580424077854841,5237.03,6822.79,0
156,1020000000,612000000,down,580424335143123,4971.96,6250.4,0
157,612000000,1020000000,up,580424591906336,4730.36,6158.94,0
158,1020000000,612000000,down,580424848571882,5310.85,6740.94,0
159,612000000,1020000000,up,580425105870372,5305.92,7003.85,0
160,1020000000,612000000,down,580425363431301,4906.97,6319.36,0
161,612000000,1020000000,up,580425620279189,4857.5,6195.48,0
162,1020000000,612000000,down,580425877039970,4811.7,6234.78,0
163,612000000,1020000000,up,580426133814864,5130.43,6761.9,0
164,1020000000,612000000,down,580426391125387,5106.49,6475.04,0
165,612000000,1020000000,up,580426648157599,5081.09,6425.44,0
166,1020000000,612000000,down,580426905136114,4758.04,6151.83,0
167,612000000,1020000000,up,580427161844959,5101.76,6656.68,0
168,1020000000,612000000,down,580427419053848,5015.23,6375.97,0
169,612000000,1020000000,up,580427675951145,4836.76,6276.64,0
170,1020000000,612000000,down,580427932752376,5597.42,7392.34,0
171,612000000,1020000000,up,580428190685379,5328.48,6811.27,0
172,1020000000,612000000,down,580428447977055,4943.71,6481.09,0
173,612000000,1020000000,up,580428704942099,5110.88,6493.47,0
174,1020000000,612000000,down,580428961946759,5207.87,6710.31,0
175,612000000,1020000000,up,580429219179777,5125.63,6542.5,0
176,1020000000,612000000,down,580429476106292,4770.9,6051.54,0
177,612000000,1020000000,up,580429732662366,4938.71,6309.37,0
178,1020000000,612000000,down,580429989477934,4998.68,6413.82,0
179,612000000,1020000000,up,580430246534949,4942.56,6395.39,0
180,1020000000,612000000,down,580430503442392,5004.41,6354.14,0
181,612000000,1020000000,up,580430760345418,4980.25,6277.05,0
182,1020000000,612000000,down,580431017135098,5264.19,6712.07,0
183,612000000,1020000000,up,580431274381366,5306.08,6695.21,0
184,1020000000,612000000,down,580431531644914,5192.93,6590.15,0
185,612000000,1020000000,up,580431788775179,4958.65,6381.85,0
186,1020000000,612000000,down,580432045706975,4939.87,6453.76,0
187,612000000,1020000000,up,580432302676692,5075.71,6564.23,0
188,1020000000,612000000,down,580432559697003,4785.82,6020.37,0
189,612000000,1020000000,up,580432816200276,4971.55,6391.52,0
190,1020000000,612000000,down,580433073153737,5045.82,6423.01,0
191,612000000,1020000000,up,580433330090334,4924.22,6404.83,0
192,1020000000,612000000,down,580433587039219,5029.57,6345.09,0
193,612000000,1020000000,up,580433843973544,4884.12,6556.96,0
194,1020000000,612000000,down,580434101061473,4713.94,6037.33,0
195,612000000,1020000000,up,580434357630413,5071.07,6650.4,0
196,1020000000,612000000,down,580434614844809,4981.37,6354.49,0
197,612000000,1020000000,up,580434871759357,4748.15,6446.47,0
198,1020000000,612000000,down,580435128735476,4817.3,6169.05,0
199,612000000,1020000000,up,580435385456228,4873.4,6203.0,0
200,1020000000,612000000,down,580435642214005,4942.55,6386.14,0
201,612000000,1020000000,up,580435899154155,5060.48,6421.02,0
202,1020000000,612000000,down,580436156161795,5147.55,6450.37,0
203,612000000,1020000000,up,580436413157850,4947.68,6380.64,0
204,1020000000,612000000,down,580436670074576,4949.4,6424.51,0
205,612000000,1020000000,up,580436927036774,5005.76,6402.98,0
206,1020000000,612000000,down,580437183974781,5434.53,7316.31,0
207,612000000,1020000000,up,580437441880587,5312.01,6846.73,0
208,1020000000,612000000,down,580437699317934,5028.64,6400.83,0
209,612000000,1020000000,up,580437956249316,5241.35,6656.04,0
210,1020000000,612000000,down,580438213436897,4937.31,6287.42,0
211,612000000,1020000000,up,580438470186035,4564.98,5936.98,0
212,1020000000,612000000,down,580438726556476,4741.17,6069.81,0
213,612000000,1020000000,up,580438983176331,5069.44,6454.31,0
214,1020000000,612000000,down,580439240170884,4816.6,6129.24,0
215,612000000,1020000000,up,580439496803443,4969.02,6282.01,0
216,1020000000,612000000,down,580439753534470,4514.32,5695.21,0
217,612000000,1020000000,up,580440009725770,5389.0,6975.09,0
218,1020000000,612000000,down,580440267276433,5252.9,6744.17,0
219,612000000,1020000000,up,580440524562834,4902.59,6301.08,0
220,1020000000,612000000,down,580440781332101,4526.54,5783.22,0
221,612000000,1020000000,up,580441037687886,4882.94,6466.31,0
222,1020000000,612000000,down,580441294692456,5145.44,6645.38,0
223,612000000,1020000000,up,580441551907975,4932.51,6391.58,0
224,1020000000,612000000,down,580441808822463,5230.05,6723.21,0
225,612000000,1020000000,up,580442066070974,5030.56,6547.78,0
226,1020000000,612000000,down,580442323137914,5175.97,6614.6,0
227,612000000,1020000000,up,580442580270583,5008.6,6360.16,0
228,1020000000,612000000,down,580442837144718,5186.94,6611.27,0
229,612000000,1020000000,up,580443094235787,4764.15,6151.0,0
230,1020000000,612000000,down,580443350893437,5501.77,7110.67,0
231,612000000,1020000000,up,580443608554728,5238.4,6665.06,0
232,1020000000,612000000,down,580443865738727,5255.49,6847.47,0
233,612000000,1020000000,up,580444123129675,5044.99,6443.94,0
234,1020000000,612000000,down,580444380239848,5048.06,6509.92,0
235,612000000,1020000000,up,580444637291045,5633.23,7309.78,0
236,1020000000,612000000,down,580444895112404,5193.31,6635.36,0
237,612000000,1020000000,up,580445152298963,4902.04,6299.13,0
238,1020000000,612000000,down,580445409117354,5149.06,6550.88,0
239,612000000,1020000000,up,580445666186983,5089.47,6581.09,0
240,1020000000,612000000,down,580445923301733,5147.39,6560.39,0
241,612000000,1020000000,up,580446180408323,5032.57,6402.69,0
242,1020000000,612000000,down,580446437311837,4995.61,6384.73,0
243,612000000,1020000000,up,580446694159316,4840.73,6155.99,0
244,1020000000,612000000,down,580446950811623,5070.65,6432.26,0
